"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(HC_post_z)",1.00028032651603,1.00056024482087,15.3676202003243,8.85135184214847e-05,0.0543483371642708,0.0162036253333897,0.116253483913469,0.000531823323008993,0.000162157476559827,0.00116886860180167,0.157583243848723,0.0830754556603474,0.282074582071765,0.0463649000872272,0.0246898380827163,0.0749323010917896
"s(V1_pre_z)",2.77038279670452,3.30867826037406,924.791081973847,0,9.73186083586225,9.01254143347163,10.4669132379363,0.0852907142926489,0.0775616923261209,0.0968894440996511,2.08017114324758,1.85310407442556,2.24691498960407,0.626429607794453,0.582466141793844,0.662797116420995
"s(AnimalID)",4.37219056755305,5,42.4303901116093,5.32824620436134e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",9.57347508512106,21,2.14654198027492,0.0407931827123527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
