"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(RipplePower_Z)",1.63653148466115,2.02037178821309,5.91865998070698,0.00266335579924531,0.0315707078667316,0.00520922808075364,0.0767895883112846,0.000292154597592824,6.32698458809911e-05,0.00070893196793058,0.0316972344965286,0.0141164097537023,0.0550346073515869,0.00920326226551494,0.00406581006554062,0.0157521237723911
"s(SpindlePower_Match_Z)",1.00052439680298,1.00104804154925,4.84213742710619,0.0277384728646956,0.0173085978000067,1.20073472712728e-05,0.0549365922912306,0.000158120999146477,7.5675615107673e-06,0.000477096130286764,0.0269449314520441,0.00682634305017449,0.0502837473292712,0.0082621987268259,0.0020105757429717,0.0144096470813342
"s(SpindlePower_NonMatch_Z)",1.47343603448841,1.80251802823776,0.888718663073645,0.499688602354145,0.00917672983174345,-0.00215157260221243,0.0392663588618116,6.88204664622641e-05,4.64654709089971e-07,0.000309726958444256,0.0178505101094143,0.00146142920301521,0.0452630541682493,0.00516656238885906,0.000429106353395425,0.0112010004472414
"ti(SOPhase_Match,SOPhase_NonMatch)",9.13277119988624,36,0.661174966435417,0.000414187183013892,0.160451848883154,0.0693040171057414,0.292484680627889,0.000485206408840539,0.000109782741264294,0.00140257432795185,0.0803507216631769,0.0396258819961771,0.132871255509222,0.0157979706822705,0.00843961933445891,0.023599569409282
"s(SOPhase_Match)",2.64865629515584,6,3.85002021779049,2.68147148330122e-06,0.0612810689584284,0.0145571935554007,0.125632466223001,0.000318686142617915,8.07502383775835e-05,0.000774219540231404,0.0376411072565414,0.0208482327414526,0.0550731975445633,0.012938052523034,0.00720760675105335,0.0183898132348293
"s(SOPhase_NonMatch)",3.82778190802258,6,4.3898666091915,4.26568895917079e-06,0.0983996405493499,0.0338912211131522,0.180579528449457,0.000568542702086577,0.000134695005277775,0.00123159916207522,0.0439676187517729,0.0227579144623319,0.0635856123707117,0.0132348457916081,0.00723570324391347,0.0185990662665017
"s(AnimalID)",0.516552763956529,1,2.6810656586882,0.150319480457419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",9.01198031324633,21,0.817682162848058,0.0130142662294883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
