"Replicate","Term","Deviance_Value","Eta_Sq_Value","Amplitude_Value","RMS_Value"
1,"s(V1_pre_z)",9.87316980143114,0.0899615419677742,1.97235802180647,0.612612222689222
2,"s(V1_pre_z)",10.6233304240205,0.092000121305811,2.19566816423734,0.659338032399267
3,"s(V1_pre_z)",9.79447149348327,0.0879030745018159,1.99610052356188,0.613028775266387
4,"s(V1_pre_z)",10.2497186963783,0.0908713467196554,2.08683766895179,0.635928237091215
5,"s(V1_pre_z)",9.88482847835567,0.0877108216005177,2.05204296596878,0.623471543819686
6,"s(V1_pre_z)",9.36073164285877,0.0820529110897343,2.00280435195045,0.606955081498247
7,"s(V1_pre_z)",9.8417050804362,0.0882262524378352,2.00322123238334,0.615080403177061
8,"s(V1_pre_z)",10.2747189912069,0.0872443903242244,2.166241439992,0.64744415913638
9,"s(V1_pre_z)",10.0607999295448,0.0869925990888178,2.12011134331516,0.637635009095687
10,"s(V1_pre_z)",9.76465987659211,0.0892590603320956,1.96012693367987,0.606985252749869
11,"s(V1_pre_z)",9.98042469405892,0.0885719444210823,2.04481087443825,0.622795482742458
12,"s(V1_pre_z)",10.1313729438804,0.0944264654967221,1.93500570663283,0.606102624674004
13,"s(V1_pre_z)",9.80290962293309,0.0923661235687624,1.87252513938955,0.595814717590212
14,"s(V1_pre_z)",9.68819134893323,0.0863925627230854,2.07875345710608,0.629658595598385
15,"s(V1_pre_z)",9.86859238478712,0.0834823891696783,2.11606321862134,0.631385039437083
16,"s(V1_pre_z)",10.0997355148593,0.0941612248309169,1.94476600963993,0.611494803790972
17,"s(V1_pre_z)",9.59856983936981,0.0874448680441502,1.95298927299733,0.602134417228769
18,"s(V1_pre_z)",9.84227487058572,0.0989756893972911,2.2138141834899,0.651997095657166
19,"s(V1_pre_z)",9.81075052967695,0.0936319735127052,1.88789305204549,0.598119127732249
20,"s(V1_pre_z)",10.0210814196011,0.0938449756046986,1.90396967925296,0.601372492136435
21,"s(V1_pre_z)",9.59964367754007,0.0904541331604676,1.93014395194155,0.600951549812653
22,"s(V1_pre_z)",9.90757187910496,0.0901409196199775,1.96351898174763,0.607150520177285
23,"s(V1_pre_z)",9.64676595719625,0.0841602770440913,2.06251875317092,0.621838981047349
24,"s(V1_pre_z)",9.83403774959872,0.0860813656760394,2.06540228649465,0.626036318889446
25,"s(V1_pre_z)",10.1202170579546,0.0965141457705106,1.82418962394322,0.589620032702219
26,"s(V1_pre_z)",10.1125430518466,0.0907128128053263,2.03716198389169,0.624754603341011
27,"s(V1_pre_z)",9.82603349028642,0.0903004974631368,1.96264160254566,0.609743461906609
28,"s(V1_pre_z)",9.7695163507841,0.0898918505263636,1.98686065803291,0.610661765144536
29,"s(V1_pre_z)",10.325234611603,0.0915597708866522,2.12588564319528,0.644731324332482
30,"s(V1_pre_z)",9.8529051703327,0.0905564303701285,1.91470798422203,0.597915339952266
31,"s(V1_pre_z)",10.7709818193572,0.0834404705558728,2.27847598925005,0.672501652352105
32,"s(V1_pre_z)",9.66971758765556,0.0918961426289768,1.85852289830721,0.589369612430441
33,"s(V1_pre_z)",10.0613213633803,0.0940632035899853,1.97122906456886,0.614438253901698
34,"s(V1_pre_z)",10.1613091012721,0.0923626739046969,2.01584563101252,0.623441279611113
35,"s(V1_pre_z)",9.50976379994809,0.0882497651937765,1.87875956057343,0.588056470369035
36,"s(V1_pre_z)",10.0404950282988,0.0920096422931461,2.00382654913422,0.615743702357384
37,"s(V1_pre_z)",9.89009920305621,0.0953920284982906,1.82507133575102,0.587593917331349
38,"s(V1_pre_z)",9.69605921043236,0.0889693145951549,1.9394889504298,0.601144111315645
39,"s(V1_pre_z)",9.94350749405377,0.0844938869433374,2.18460350511279,0.648798698079665
40,"s(V1_pre_z)",10.7370532428549,0.0973278337084804,2.09629397807903,0.643062242687264
41,"s(V1_pre_z)",9.75773997417925,0.0854807513750298,2.12538714577432,0.634200812469781
42,"s(V1_pre_z)",10.1201915127496,0.0914261094516213,2.08835561430101,0.634983440584485
43,"s(V1_pre_z)",10.2191393632439,0.0928194503254461,2.04521428106231,0.628252209846332
44,"s(V1_pre_z)",10.1835416687258,0.093359494525818,1.97706082626387,0.614397510776792
45,"s(V1_pre_z)",9.73228271291176,0.0839574313844571,2.0707958863905,0.624097037146987
46,"s(V1_pre_z)",9.52925261734288,0.0883555296246648,1.84807242155512,0.58221828558046
47,"s(V1_pre_z)",10.1155396857398,0.0906333331504609,2.03916742061981,0.625644583916373
48,"s(V1_pre_z)",10.0730711524409,0.0915492265401958,2.04956810650655,0.625959995827348
49,"s(V1_pre_z)",9.68772193737615,0.0912618973282772,1.86096399534623,0.591855532503642
50,"s(V1_pre_z)",10.2718183341254,0.0970006131055826,1.91172727770721,0.606453396316374
51,"s(V1_pre_z)",9.61048609988114,0.0865173968387381,1.99584942155466,0.61135187635626
52,"s(V1_pre_z)",10.3764039056538,0.0988105914629407,1.96025092821709,0.616117010098247
53,"s(V1_pre_z)",9.54486144870423,0.0929019346742762,1.80837153709991,0.577183634174858
54,"s(V1_pre_z)",10.3447731138148,0.0928102968522792,2.08465873098457,0.637068004420082
55,"s(V1_pre_z)",9.66154196981277,0.0867450858628809,1.97560924506629,0.606957843639959
56,"s(V1_pre_z)",10.1893454088615,0.0950078473198007,1.93729886882749,0.610292014728847
57,"s(V1_pre_z)",10.1307677760564,0.0922190587721545,2.08545549586349,0.634363041090423
58,"s(V1_pre_z)",10.3210553476415,0.0962043665035772,1.97006071475134,0.619415652523179
59,"s(V1_pre_z)",9.8218138032349,0.0929237316034584,1.8366348259766,0.586664441434582
60,"s(V1_pre_z)",9.92475337161842,0.0879814445592711,2.04734378404448,0.625049893893313
61,"s(V1_pre_z)",10.1565239817582,0.0914039637883922,2.06422521115175,0.63248865297625
62,"s(V1_pre_z)",9.76558102343071,0.0891536628330902,1.98674346297799,0.611306576260041
63,"s(V1_pre_z)",9.71711261306413,0.0858121179072377,2.0435465146035,0.620123660788092
64,"s(V1_pre_z)",9.91809939954447,0.0903139868633561,1.99147910500522,0.616906972810248
65,"s(V1_pre_z)",10.24949577661,0.0977178815092834,1.86377984896936,0.594649306001621
66,"s(V1_pre_z)",10.0744744054173,0.0977964270200922,1.82068303883119,0.589287781911525
67,"s(V1_pre_z)",10.0283499186818,0.0925630622237742,1.97969134544301,0.614912666722324
68,"s(V1_pre_z)",9.96167898065198,0.089474091723982,2.02947276008686,0.62220872721837
69,"s(V1_pre_z)",9.44326637982289,0.0856937253381211,1.95738882744118,0.600794056513903
70,"s(V1_pre_z)",10.0119434284294,0.0887028829599066,2.10546914542563,0.635480418059198
71,"s(V1_pre_z)",10.5174319386211,0.0926923918667193,2.12374919019696,0.64205814485267
72,"s(V1_pre_z)",10.1222063098114,0.0844224415357593,2.19844563149278,0.650170481690188
73,"s(V1_pre_z)",10.0013398714748,0.0911799913764362,1.99711440877473,0.618174180812451
