"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(V1_pre_z)",1.00101432485777,1.00202779403669,32.4883537282012,0,9.94352899549391,9.27601666802765,10.5754608822404,0.0899748149449013,0.0820266779342286,0.0991386126521962,2.01277942440251,1.79678907652497,2.22200563422667,0.618165005288675,0.57673604298336,0.659072711657238
"s(AnimalID)",0.00499398051006187,5,0.00569364124860499,0.404581444857043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",20.5545581251031,21,75.269990103151,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
