"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(RipplePower_Z)",1.63741261498894,2.02151548486796,5.72950985686325,0.0032166136391315,0.0319209712456569,0.0057690867102497,0.0761172285872202,0.00028356091119201,5.92379127317166e-05,0.000686219591027316,0.031141302648684,0.0139853002035184,0.0540836392823549,0.00903430512788201,0.00391638267279329,0.0154803974606646
"s(SpindlePower_Match_Z)",1.00052936041074,1.00105828074574,4.34082463158607,0.0371681879505477,0.017117004836272,0.000701420600014845,0.0566380116289172,0.000141598183706954,6.27315164544646e-06,0.000460289567466675,0.0256405064582858,0.00570783924984687,0.0492077940464931,0.00782107116702358,0.00168120170437861,0.0140208024144532
"ti(SOPhase_Match,SOPhase_NonMatch)",9.14047285583293,36,0.66254761517283,0.000406377766632549,0.161721582211543,0.0711464672793528,0.294487553704985,0.00048645481413665,0.000110665561270084,0.0014016888700918,0.0803723106628123,0.0396462917036378,0.133315388886367,0.0157891718895883,0.00843765544546967,0.0236097529846384
"s(SOPhase_Match)",2.64979544445912,6,3.85638166984563,2.6132430653858e-06,0.0621333467103934,0.0177760643935091,0.12662055257469,0.000319839215271164,8.05898191944325e-05,0.000771513417484158,0.0377612800282428,0.0209513357362575,0.0549352392958892,0.0129721070944947,0.00727165065386837,0.0184361530770523
"s(SOPhase_NonMatch)",3.82227671768885,6,4.36577496091835,4.47979625339823e-06,0.0993955190282297,0.0380905271192966,0.182865578053962,0.000569562413010049,0.000135828227006235,0.00122929198811733,0.0439608761432322,0.0226466256707459,0.0634380266727112,0.0132251797554934,0.00712336206151898,0.018571957653978
"s(AnimalID)",0.516036723990255,1,2.6675805320384,0.150540404491088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",8.99821733795319,21,0.815073170776026,0.0132257961937996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
