"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(lastRippleV1PRE_z)",1.00059492768973,1.0011894728856,36.3547095736637,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ1",1.00043508584958,1.00087001316958,11.9598052705023,0.0005432527336941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ2",1.00021043828575,1.00042083451527,2.39278799592946,0.121895671701124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ3",1.00135134653947,1.00270145853425,0.108044568215268,0.742883586210709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ4",1.73709822231752,2.21092014065934,0.403415273652806,0.654425083452643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ5",1.00027068588362,1.00054131473825,0.321800967333244,0.570664436090483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(AnimalID)",2.93736510719987,5,1489.15447555407,0.0167963738328218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",17.169705049742,21,235.092975921607,0.0373031331351653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
