"Term","edf","Ref.df","F","p-value","Partial_Deviance","Eta_Sq_Partial","Amplitude","RMS"
"s(RipplePower_Z)",1.80952308419705,2.23600868041839,5.9258303941647,0.00210402357101802,0.0252176708536944,0.000262253911745533,0.0276889510995035,0.00838157511709106
"s(SpindlePower_Match_Z)",1.00118936378045,1.00237715267892,5.22393005664924,0.0222297934734129,0.00962259364979712,0.0001279324028617,0.025454182270646,0.00742239230242786
"te(SOPhase_Match,SOPhase_NonMatch)",15.1869827037298,48,1.48319451038126,0,0.204774171892775,0.000550747957499344,0.0863647868145188,0.0201838516206009
"s(AnimalID)",0.64307150966109,1,5.74665598174431,0.0941282451554715,NA,NA,NA,NA
"s(SessionID)",9.50561310837478,21,0.865007618920509,0.0126010481568823,NA,NA,NA,NA
