"Term","edf","Ref.df","F","p-value","Partial_Deviance","Eta_Sq_Partial","Amplitude","RMS"
"s(RipplePower_Z)",1.00023239558481,1.00046450586896,7.3480704054965,0.00670745620281443,0.0120966806883287,0.000179713500789556,0.0282671695116532,0.00824206765049188
"s(SpindlePower_Match_Z)",1.00185004355952,1.00369706207662,1.45841689236862,0.226596924903334,0.000785419165774903,3.57316789868166e-05,0.013823857583802,0.00403215287895403
"te(SOPhase_Match,SOPhase_NonMatch)",5.49762059554434,48,0.208929323480338,0.0381448668507076,0.035192233865085,2.80896610073439e-05,0.0214018362362319,0.00529559258000465
"s(AnimalID)",0.72783568442227,1,5.9765056703507,0.0552284891794727,NA,NA,NA,NA
"s(SessionID)",6.9273579095111,21,0.541569461068385,0.0461587205456243,NA,NA,NA,NA
