"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(lastRippleV1PRE_z)",2.01952889851248,2.51465066491823,1065.82306803496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ1",2.15615071400602,2.76726925502809,1.17699329240411,0.305105316689583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ2",1.00886469914445,1.0176770045039,5.24349830294007,0.0218567333565523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ3",1.00062645112581,1.00125242061454,3.91111733272831,0.0479892997107425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ4",1.00033016928739,1.00066017937342,4.9203018913198,0.0265268296812992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(lastRippleHPC_z):ripple_quantileQ5",1.00036646047703,1.0007327562741,0.550469416709777,0.458261891351722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(AnimalID)",3.15078601717732,5,36.5236669615563,0.0353618404631065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",13.5802837904124,21,7.61785978245154,0.0317329422849109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
