"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(RipplePower_Z)",1.36671041972968,1.63470225703634,7.73855781782329,0.000783431994277384,0.0569847590999722,0.0177441892203505,0.116346933232207,0.000443137236664396,0.000117178508873911,0.000967387699352618,0.0423494017858298,0.0209062141682718,0.0696071372467281,0.0126367971751229,0.00609740829920249,0.0201319387659281
"s(SpindlePower_Match_Z)",1.00082069562873,1.00164047252158,4.31426729092662,0.0377261171264207,0.0171598165979966,0.000584046470011507,0.0556343138128206,0.000143075064128314,5.80608592635733e-06,0.00046024475730749,0.0253878042313693,0.00552195195503377,0.0495341255681992,0.0077704078840668,0.00162725203786532,0.0139874572923922
"ti(SOPhase_Match,SOPhase_NonMatch)",9.09710029513137,36,0.642520554168125,0.000567245182711673,0.160791146531605,0.0664644188955808,0.296222553637078,0.000483599330048979,0.000102998411045627,0.00143009080559867,0.0805488160558995,0.0387136419332221,0.134306727233147,0.0157860044680897,0.00822105062719424,0.0236578118008265
"s(SOPhase_Match)",3.09505985561842,6,5.52882203087646,0,0.0827534185595705,0.0199554570745163,0.174423123638433,0.000528792386637309,0.000177163326055713,0.00110257951226205,0.0591497146856463,0.0351379425113507,0.0843449562304454,0.0201687949836225,0.0122374516516345,0.0284886612292165
"s(SOPhase_NonMatch)",3.81089825456921,6,4.28380572279377,5.33126636514947e-06,0.0947619983088119,0.0341210870300384,0.175813022817477,0.000555785162519074,0.000127289060653543,0.00118064009888855,0.0434420288949081,0.0221204653611508,0.062891789945547,0.0130331486954681,0.00696669030969058,0.0184624341486564
"ti(RipplePower_Z,SOPhase_Match)",8.01473944263545,24,0.933397984042956,0.000543457922610679,0.134807300542227,0.0413463191110126,0.232673858981244,0.000476645362716765,5.76890079512247e-05,0.00114549584743422,0.0803006296056042,0.0325431504747612,0.148141476193038,0.0155973310834947,0.00677531827900537,0.0243133918462977
"s(AnimalID)",0.509296271493387,1,2.55451866267821,0.153366400334781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",8.94952808465535,21,0.80628709402566,0.0139105648784937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
